,LINK_ID,Source,Target,MAX_SPD
500,1560086000,1560026400,1560008800,40.0
501,1560086100,1560026400,1560010400,40.0
502,1510062900,1510006300,1510015300,60.0
503,1510063000,1510005500,1510015300,60.0
504,1520024500,1520004100,1520007800,70.0
505,1520024600,1520007800,1520000700,70.0
506,1520024700,1520000700,1520007800,70.0
507,1520024800,1520007800,1520004100,70.0
508,1520024900,1520002700,1520007500,50.0
509,1520025000,1520007500,1520000600,50.0
510,1520025100,1520000600,1520007500,50.0
511,1520028300,1520003200,1520007700,50.0
512,1520028400,1520007700,1520000600,50.0
513,1520028500,1520000400,1520007400,70.0
514,1520028600,1520007400,1520000500,70.0
515,1520028700,1520000500,1520007400,70.0
516,1520028800,1520007400,1520000400,70.0
517,1520028900,1520003400,1520007600,70.0
518,1560086200,1560028100,1560020300,50.0
519,1560086300,1560020300,1560028100,50.0
520,1560086400,1560028100,1560018500,50.0
521,1560086500,1560018300,1560027500,40.0
522,1560086600,1560027500,1560016400,40.0
523,1560086700,1560016400,1560027500,40.0
524,1560086800,1560027500,1560018300,40.0
525,1500038000,1500008400,1500003700,30.0
526,1500038100,1500003700,1500008400,30.0
527,1500038200,1500008400,1500008000,30.0
528,1520026900,1520001700,1520008700,30.0
529,1520027000,1520008700,1520001700,30.0
530,1520027100,1520008700,1520006400,40.0
531,1520027200,1520008700,1520006600,40.0
532,1550063800,1550019100,1550007600,60.0
533,1550063900,1550007000,1550019100,60.0
534,1550064000,1550019100,1550007000,60.0
535,1530027400,1530007600,1530002900,60.0
536,1530027500,1530002900,1530007600,60.0
537,1530027600,1530007500,1530007600,60.0
538,1530027700,1530001600,1530007600,60.0
539,1530028400,1530008300,1530008200,30.0
540,1530028500,1530008200,1530007800,30.0
541,1530028600,1530008300,1530006500,40.0
542,1530028700,1530006500,1530008300,40.0
543,1530025400,1530007800,1530008100,40.0
544,1500030500,1500008700,1500008400,30.0
545,1500030600,1500008400,1500008700,30.0
546,1500030700,1500007100,1500009600,60.0
547,1500030800,1500006100,1500009600,60.0
548,1500030900,1500009600,1500006100,60.0
549,1540093500,1540033400,1540022400,80.0
550,1540093600,1540004600,1540033400,80.0
551,1510044600,1510019100,1510019000,30.0
552,1510044700,1510019100,1510019200,30.0
553,1510044800,1510019200,1510019100,30.0
554,1520027700,1520005700,1520008600,70.0
555,1520027800,1520008600,1520005700,70.0
556,1520027900,1520008600,1520006100,60.0
557,1520028000,1520006100,1520008600,60.0
558,1540099200,1540035600,1540028600,70.0
559,1540099300,1540028600,1540035600,70.0
